"day","maxT","minT","meanT","heat_dd","cool_dd","total_rain_mm","total_snow_cm","total_precip_mm","snow_on_grnd_cm","dir_max_gust_deg","speed_max_gust_kmh","Year","Month"
"01","-25.0","-32.2","-28.6","46.6","0.0","0.0","0.0","0.0","","","",1907,1
"02","-26.7","-33.3","-30.0","48.0","0.0","0.0","0.0","0.0","","","",1907,1
"03","-24.4","-32.2","-28.3","46.3","0.0","0.0","0.0","0.0","","","",1907,1
"04","-24.4","-26.7","-25.6","43.6","0.0","0.0","0.0","0.0","","","",1907,1
"05","-21.1","-28.9","-25.0","43.0","0.0","0.0","0.0","0.0","","","",1907,1
"06","-15.6","-23.3","-19.5","37.5","0.0","0.0","0.0","0.0","","","",1907,1
"07","-16.1","-26.7","-21.4","39.4","0.0","0.0","0.0","0.0","","","",1907,1
"08","-5.6","-28.9","-17.3","35.3","0.0","0.0","0.0","0.0","","","",1907,1
"09","0.0","-14.4","-7.2","25.2","0.0","0.0","0.0","0.0","","","",1907,1
"10","-1.7","-6.7","-4.2","22.2","0.0","0.0","0.0","0.0","","","",1907,1
"11","-5.0","-20.0","-12.5","30.5","0.0","0.0","5.1","5.1","","","",1907,1
"12","-20.6","-33.9","-27.3","45.3","0.0","0.0","0.0","0.0","","","",1907,1
"13","-27.8","-33.9","-30.9","48.9","0.0","0.0","0.0","0.0","","","",1907,1
"14","-29.4","-37.2","-33.3","51.3","0.0","0.0","0.0","0.0","","","",1907,1
"15","-17.8","-36.7","-27.3","45.3","0.0","0.0","0.0","0.0","","","",1907,1
"16","-21.1","-30.0","-25.6","43.6","0.0","0.0","0.0","0.0","","","",1907,1
"17","-13.3","-27.8","-20.6","38.6","0.0","0.0","0.0","0.0","","","",1907,1
"18","-8.9","-20.6","-14.8","32.8","0.0","0.0","0.0","0.0","","","",1907,1
"19","-17.2","-28.3","-22.8","40.8","0.0","0.0","0.0","0.0","","","",1907,1
"20","-17.8","-32.2","-25.0","43.0","0.0","0.0","0.0","0.0","","","",1907,1
"21","-17.8","-22.2","-20.0","38.0","0.0","0.0","0.0","0.0","","","",1907,1
"22","3.3","-20.0","-8.4","26.4","0.0","0.0","0.0","0.0","","","",1907,1
"23","-0.6","-12.8","-6.7","24.7","0.0","0.0","2.5","2.5","","","",1907,1
"24","-12.8","-21.1","-17.0","35.0","0.0","0.0","0.0","0.0","","","",1907,1
"25","-5.6","-21.1","-13.4","31.4","0.0","0.0","0.0","0.0","","","",1907,1
"26","-11.7","-19.4","-15.6","33.6","0.0","0.0","0.0","0.0","","","",1907,1
"27","-23.3","-29.4","-26.4","44.4","0.0","0.0","0.0","0.0","","","",1907,1
"28","-23.3","-33.3","-28.3","46.3","0.0","0.0","0.0","0.0","","","",1907,1
"29","-24.4","-28.3","-26.4","44.4","0.0","0.0","1.0","1.0","","","",1907,1
"30","-25.6","-30.0","-27.8","45.8","0.0","0.0","0.0","0.0","","","",1907,1
"31","-20.0","-27.8","-23.9","41.9","0.0","0.0","1.5","1.5","","","",1907,1
"01","-22.2","-27.2","-24.7","42.7","0.0","0.0","1.5","1.5","","","",1907,2
"02","-27.2","-38.3","-32.8","50.8","0.0","0.0","0.0","0.0","","","",1907,2
"03","-31.1","-40.0","-35.6","53.6","0.0","0.0","0.0","0.0","","","",1907,2
"04","-12.8","-37.8","-25.3","43.3","0.0","0.0","0.0","0.0","","","",1907,2
